type,time
partition_sort,0.003164052963256836
qs1,0.004079103469848633
qs2,0.005103349685668945
qs3,0.005232334136962891
qs4,0.005784749984741211
qs5,0.005339622497558594
merge1,0.005480051040649414
partition_sort,0.0033164024353027344
qs1,0.003983020782470703
qs2,0.0053327083587646484
qs3,0.005361795425415039
qs4,0.005095005035400391
qs5,0.004967451095581055
merge1,0.0054967403411865234
partition_sort,0.0032095909118652344
qs1,0.00405430793762207
qs2,0.005404949188232422
qs3,0.005365848541259766
qs4,0.004952907562255859
qs5,0.0050504207611083984
merge1,0.005570650100708008
partition_sort,0.003303050994873047
qs1,0.003989458084106445
qs2,0.00543522834777832
qs3,0.005395412445068359
qs4,0.005479097366333008
qs5,0.005309104919433594
merge1,0.005398273468017578
partition_sort,0.0032415390014648438
qs1,0.003975391387939453
qs2,0.005249977111816406
qs3,0.0050547122955322266
qs4,0.0050504207611083984
qs5,0.0051343441009521484
merge1,0.00536799430847168
partition_sort,0.0032014846801757812
qs1,0.00393223762512207
qs2,0.0051081180572509766
qs3,0.005138397216796875
qs4,0.004972219467163086
qs5,0.005022525787353516
merge1,0.005423069000244141
partition_sort,0.0031900405883789062
qs1,0.0039293766021728516
qs2,0.005088090896606445
qs3,0.005287647247314453
qs4,0.004996061325073242
qs5,0.004882097244262695
merge1,0.005333900451660156
partition_sort,0.0032072067260742188
qs1,0.0038928985595703125
qs2,0.005070209503173828
qs3,0.005209922790527344
qs4,0.005036354064941406
qs5,0.005035400390625
merge1,0.0053539276123046875
partition_sort,0.0031371116638183594
qs1,0.0039157867431640625
qs2,0.0052661895751953125
qs3,0.005174875259399414
qs4,0.0052640438079833984
qs5,0.005206108093261719
merge1,0.005551576614379883
partition_sort,0.0032873153686523438
qs1,0.004155158996582031
qs2,0.0052950382232666016
qs3,0.005554914474487305
qs4,0.005522727966308594
qs5,0.005084991455078125
merge1,0.005490779876708984
partition_sort,0.003291606903076172
qs1,0.0041980743408203125
qs2,0.005339384078979492
qs3,0.005446672439575195
qs4,0.0052640438079833984
qs5,0.0053789615631103516
merge1,0.0055582523345947266
partition_sort,0.00325775146484375
qs1,0.003911733627319336
qs2,0.00537109375
qs3,0.005142688751220703
qs4,0.005348682403564453
qs5,0.005075693130493164
merge1,0.005472898483276367
partition_sort,0.003228425979614258
qs1,0.003905057907104492
qs2,0.005110502243041992
qs3,0.0050945281982421875
qs4,0.005337715148925781
qs5,0.004947662353515625
merge1,0.005321502685546875
partition_sort,0.0031402111053466797
qs1,0.0039594173431396484
qs2,0.0051822662353515625
qs3,0.005258083343505859
qs4,0.005494594573974609
qs5,0.005034685134887695
merge1,0.005609750747680664
partition_sort,0.0032875537872314453
qs1,0.004097938537597656
qs2,0.0054013729095458984
qs3,0.005268573760986328
qs4,0.005743741989135742
qs5,0.0050508975982666016
merge1,0.005401134490966797
partition_sort,0.003162384033203125
qs1,0.0038542747497558594
qs2,0.005240917205810547
qs3,0.0051305294036865234
qs4,0.005153179168701172
qs5,0.004986286163330078
merge1,0.005326509475708008
partition_sort,0.0031936168670654297
qs1,0.0040874481201171875
qs2,0.005293846130371094
qs3,0.00510716438293457
qs4,0.005016803741455078
qs5,0.005120038986206055
merge1,0.005354642868041992
partition_sort,0.0031859874725341797
qs1,0.003943681716918945
qs2,0.0051000118255615234
qs3,0.005194664001464844
qs4,0.005211591720581055
qs5,0.005080699920654297
merge1,0.005363941192626953
partition_sort,0.0032155513763427734
qs1,0.003914356231689453
qs2,0.0050716400146484375
qs3,0.005146980285644531
qs4,0.004929542541503906
qs5,0.005032539367675781
merge1,0.005369901657104492
partition_sort,0.003178834915161133
qs1,0.003976345062255859
qs2,0.0052144527435302734
qs3,0.0049626827239990234
qs4,0.00533604621887207
qs5,0.005224943161010742
merge1,0.005544185638427734
partition_sort,0.0033724308013916016
qs1,0.004079580307006836
qs2,0.0052983760833740234
qs3,0.005220890045166016
qs4,0.005381345748901367
qs5,0.004985332489013672
merge1,0.005539894104003906
partition_sort,0.0033495426177978516
qs1,0.004068851470947266
qs2,0.005510568618774414
qs3,0.0054073333740234375
qs4,0.005487203598022461
qs5,0.0052337646484375
merge1,0.005543947219848633
partition_sort,0.0033142566680908203
qs1,0.004042625427246094
qs2,0.00568842887878418
qs3,0.0054051876068115234
qs4,0.0049245357513427734
qs5,0.005127429962158203
merge1,0.005547285079956055
partition_sort,0.0032320022583007812
qs1,0.004117250442504883
qs2,0.0054302215576171875
qs3,0.00540614128112793
qs4,0.0054590702056884766
qs5,0.005406618118286133
merge1,0.005453586578369141
partition_sort,0.0032432079315185547
